QuestionNumber,Answer
1,Helsinki
2,Serbia
3,Spain
4,Zambia
5,Turkey
6,Everest
7,Nepal
8,India
9,Peru
10,Malaysia
11,San Marino
12,Odesia
13,Etna
14,Romania
15,Brasilia
16,Black
17,Tajikistan
18,4
19,Vietnam
20,Yenisei
21,Japan
22,Atlantic
23,South America
24,Newfoundland
25,Red
26,Patagonian
27,Africa
28,Cambodia
29,Lebanon
30,China
31,Brazil
32,Sri Lanka
33,Ottawa
34,8 billion
35,Andorra
36,Seine
37,Istanbul
38,Nigeria
39,UK
40,Brazil
